idstud,bsmmat01,bsssci01,bsbg01,bsbg03,bsdage,bsbgher,bsbgsbs,bsbgslm,bsbgsvm,bsbgscm,bsbgeml,bsdgedup,bsdmwkhw,bcbg01,bcbg03a,bcbg05a,schsc14q02,schsc22q01,schsc22q09,schsc22q11,schsc24q01,schscmatedu,schsmratio,escs,pv1math,pv1read,pv1scie,r9schooltype,a9q7,bQ1
4130204,538.64423,467.62629,1,1,14.333333333333334,11.64917,11.04872,5.03748,6.66537,7.58514,6.97717,1,2,506,1,1,2,3,3,2,1,-0.5803,186,1.08,504.2141,453.7139,440.1716,2,NA,NA
4680205,620.41035,505.84129,2,1,15.333333333333334,11.17406,9.62932,9.965,9.34439,9.84519,8.70884,NA,3,403,3,2,1,4,4,4,2,-1.2965,192.5,0.82,486.4543,443.698,494.9086,1,3,4
3300221,476.43996,477.53187,1,1,15,8.19314,13.03951,8.93041,7.88323,9.39344,8.70884,4,2,837,3,2,1,3,1,3,3,0.0872,136.333,0.69,523.6875,555.6239,566.7102,1,4,4
3120309,519.01891,486.0238,1,1,14.916666666666666,10.25396,11.04872,10.35777,7.88323,8.69047,10.74331,1,2,696,2,2,NA,2,1,2,2,NA,113.077,0.02,474.0692,509.2362,463.2973,1,5,4
4450106,451.85646,420.00696,1,1,14.666666666666666,9.60097,8.81989,13.46507,11.9425,11.07454,14.34298,2,2,226,2,4,1,3,3,1,2,1.9226,207.333,-0.34,413.4678,480.7204,516.7288,1,3,3
4780114,491.04587,544.67071,1,1,13.75,9.60097,13.03951,5.03748,3.41233,5.80254,8.27843,1,1,1408,2,2,3,2,2,2,2,0.0872,200.714,0.17,415.0257,398.9065,350.746,1,5,NA
5010104,627.67236,624.99763,1,1,14.583333333333334,10.25396,9.18945,11.33851,11.01771,12.08627,10.74331,2,3,429,1,1,1,1,2,2,2,-0.4184,NA,0.3,597.375,661.7437,653.4316,1,4,2
3240125,558.45804,449.09708,1,1,13.916666666666666,12.51743,13.03951,13.46507,11.01771,11.70269,11.44903,1,2,760,2,3,NA,4,4,3,NA,NA,NA,-0.17,477.6523,467.1377,455.4644,3,5,NA
4100116,409.72467,431.14387,2,3,15.5,8.19314,NA,12.51359,11.58879,5.15932,13.35028,3,NA,156,4,6,2,3,3,2,1,-1.5162,39.25,-0.12,598.1539,367.9943,410.9847,NA,3,NA
4710101,339.79414,409.38463,2,1,14.333333333333334,9.60097,6.83195,7.91186,8.55351,6.85613,9.15641,1,2,999,4,6,1,2,3,3,2,-0.4184,47.2,-0.05,493.3089,370.7209,501.436,1,5,3
5080106,583.87395,629.05287,1,1,14.25,8.91919,11.04872,9.60333,7.2741,9.16491,10.74331,2,1,494,3,5,1,3,3,1,3,-0.256,123,-0.42,589.8193,515.5906,609.3249,1,3,2
3750216,413.02282,410.6261,2,1,15.416666666666666,10.25396,9.62932,9.60333,11.01771,6.39359,7.85736,2,1,923,2,5,1,2,1,1,2,-0.0892,134.714,-0.55,454.8294,327.8971,444.5543,1,3,NA
3390220,491.21448,476.50949,2,1,14.916666666666666,10.25396,13.03951,7.51389,5.96004,6.85613,5.86845,2,2,654,4,1,1,2,3,1,2,-0.4184,134.6,0.25,535.2158,388.3637,524.7482,1,6,4
4830402,466.26539,493.56941,2,1,14.916666666666666,10.04151,8.48873,8.26761,6.97345,9.0442,7.85736,NA,2,960,2,3,1,3,3,3,2,0.5021,189.2,-0.91,419.6993,379.3018,456.1171,1,3,4
3410116,498.62867,552.62155,1,1,15.166666666666666,9.60097,7.6477,9.26151,8.92971,7.58514,9.15641,2,1,598,3,5,1,3,3,3,2,-0.0892,106.727,-0.43,410.8194,421.7032,428.8885,1,3,4
4950210,650.20186,627.66607,2,1,14.25,11.64917,11.04872,12.07123,8.55351,13.14698,9.6346,1,3,521,3,1,4,4,3,3,3,-1.7689,180.333,-0.8,480.92380000000003,454.5242,415.5539,1,4,NA
3160101,528.76978,562.70695,2,1,14.5,10.92551,11.04872,9.965,9.34439,9.84519,8.70884,2,2,705,1,2,3,3,3,2,2,-0.5803,176.25,-0.53,612.4864,604.6483,596.27,1,3,2
4820103,461.25124,504.27183,1,1,14.666666666666666,7.30445,8.81989,9.26151,7.57539,7.89169,7.85736,NA,2,173,2,6,1,4,4,1,1,0.0872,8.667,-2.31,390.3334,415.8253,375.5502,1,3,4
4540101,597.35057,551.98249,2,1,14.583333333333334,8.91919,13.03951,7.51389,3.41233,3.17837,7.42878,4,1,407,3,4,1,3,3,3,2,-1.0989,173.6,0.03,411.3647,365.1073,435.2294,1,NA,5
3710306,393.66588,404.6099,1,1,14.75,7.30445,8.81989,11.33851,11.9425,6.85613,8.70884,NA,2,738,2,5,2,3,1,2,2,0.7756,111.333,-0.88,390.5671,438.3837,398.1164,1,3,4
3830106,570.96594,601.83522,2,4,15.833333333333334,13.71571,10.19817,5.03748,5.49149,8.17383,7.42878,NA,3,51,4,6,1,3,3,3,2,-0.0892,25,-0.47,437.3033,343.7756,385.994,1,3,NA
3820523,457.11364,530.92593,2,2,14.333333333333334,10.25396,7.11034,8.93041,8.92971,8.69047,10.74331,1,1,1365,4,2,2,2,3,3,1,-0.9168,NA,0.06,599.2444,594.223,534.3529,1,6,4
5060207,517.79621,527.98417,1,1,15,12.51743,9.18945,10.35777,8.20673,10.54867,12.42205,1,2,365,4,1,2,2,2,2,2,0.0872,135.333,0.81,474.4586,466.6611,440.8243,1,5,2
4650105,649.19268,664.30157,1,3,14.25,8.91919,13.03951,13.46507,11.01771,14.02271,14.34298,2,2,80,1,6,1,4,3,4,2,-0.9168,81,-0.35,477.9639,423.4507,467.9597,1,5,NA
3430125,474.15523,493.57236,1,1,15.083333333333334,10.04151,11.04872,9.965,9.34439,7.89169,9.15641,NA,1,1049,1,2,2,3,2,3,1,-0.9168,282.5,-0.65,485.208,491.7613,497.7061,1,5,4
4750315,533.64605,516.59303,1,1,14.5,10.25396,9.62932,13.46507,8.92971,14.02271,11.44903,2,2,588,4,6,1,4,2,3,2,-1.5162,NA,-0.24,457.3999,512.4134,565.4979,1,3,4
3980222,516.44569,559.63863,2,1,14.75,8.91919,9.62932,8.26761,7.2741,8.43911,8.27843,3,1,798,2,1,2,3,3,4,2,-1.0989,168.6,-0.51,387.3734,378.7404,404.4573,1,3,4
4420126,500.87227,489.73796,1,1,13.5,9.60097,9.18945,13.46507,11.9425,10.07332,12.42205,3,1,573,1,2,1,4,3,4,2,-1.0989,192.333,-0.04,445.7158,380.6374,462.085,1,5,4
3530303,500.46936,494.27536,1,1,15,10.92551,9.18945,8.60159,8.20673,7.89169,8.70884,2,2,898,NA,1,4,4,3,3,1,-0.9168,NA,-0.26,397.5775,483.7388,384.7818,2,4,4
4490110,378.61225,379.79761,2,1,15.083333333333334,12.51743,5.81451,8.26761,10.35139,7.89169,7.85736,1,NA,232,4,6,1,4,4,3,2,-0.256,66,-0.13,318.1259,385.4767,414.9012,1,NA,NA
4810209,438.41805,429.65373,1,1,14.75,8.19314,9.62932,13.46507,9.81093,12.08627,10.15325,2,2,317,3,5,1,3,2,2,1,0.0872,121.6,-1.11,479.2881,476.7489,434.5767,1,3,3
4370108,612.26889,670.74581,2,1,15.25,12.21628,13.03951,13.46507,9.81093,11.70269,10.74331,NA,2,110,1,3,1,3,2,1,3,-1.2965,NA,-0.07,368.0558,385.9579,450.1492,1,4,4
3170106,430.48185,571.77401,2,1,15.416666666666666,10.25396,8.81989,8.93041,10.35139,9.39344,8.27843,4,1,32,4,6,1,1,2,1,1,-1.0989,32,-0.24,417.4404,415.3091,415.6471,1,5,4
4250302,497.61345,473.18159000000003,2,1,15.333333333333334,9.60097,13.03951,8.93041,7.88323,9.84519,6.97717,2,2,647,3,5,1,2,3,3,2,-1.5162,184,-0.28,525.1675,366.4706,503.1145,1,3,4
4460311,438.56766,456.61355,2,1,14.583333333333334,8.91919,7.38476,10.35777,8.88341,7.58514,8.70884,4,1,881,1,2,1,2,3,3,2,0.5021,174,-0.17,381.2198,383.1511,430.4737,1,4,4
4540122,557.61971,587.71466,2,1,14.666666666666666,8.91919,9.62932,10.35777,10.35139,8.93142,10.15325,4,2,407,3,4,1,3,3,3,2,-1.0989,173.6,-0.75,486.5322,433.7538,480.0821,1,3,4
4760102,547.29173,568.19777,1,1,16.25,8.19314,9.62932,8.93041,11.9425,9.61942,10.74331,4,2,93,NA,6,NA,1,1,1,1,NA,NA,-1.22,309.4018,351.2479,332.6557,1,3,3
3870101,573.27055,584.33351,2,1,15.166666666666666,8.91919,9.18945,9.26151,8.92971,8.93142,10.74331,2,2,47,NA,6,2,4,1,3,2,-0.5803,NA,-0.43,553.9882,429.7441,469.4517,1,5,4
3460114,700.46986,657.21292,2,1,15.166666666666666,10.92551,7.6477,13.46507,11.01771,11.37095,11.44903,2,2,665,2,4,1,3,4,3,1,0.5021,130.4,0.51,576.6552,549.3141,608.0194,1,4,4
4090106,549.02528,497.46055,2,4,14.333333333333334,10.92551,10.19817,13.46507,8.92971,11.37095,11.44903,1,2,334,1,5,1,3,NA,3,3,-1.5162,58.182,0.33,448.7537,358.6918,432.4319,1,6,4
3770213,399.86296,426.77231,2,1,15.083333333333334,8.91919,13.03951,9.26151,8.92971,9.61942,9.15641,4,3,338,1,4,1,3,4,3,3,-2.0766,NA,-0.16,394.4618,344.6577,375.4569,1,6,NA
4210301,445.26397,439.51632,2,1,15.083333333333334,9.60097,9.62932,9.26151,8.20673,7.89169,8.70884,3,1,971,1,4,1,2,2,2,3,0.2803,169.167,-0.23,461.4504,357.4889,409.959,1,5,NA
3660101,600.31967,669.2728,2,1,14.25,9.60097,9.18945,10.35777,11.01771,11.37095,11.44903,2,2,108,4,6,1,3,3,2,NA,-0.5803,58,-0.75,425.5414,401.9968,413.7822,1,5,4
4300114,541.16728,497.75318,1,1,14.25,10.92551,7.38476,7.91186,8.55351,8.43911,8.70884,1,1,613,3,4,1,4,4,2,1,1.9226,244,0.22,483.4164,479.0524,508.9892,1,4,4
4730307,580.01199,531.51393,1,1,14.75,10.25396,8.81989,9.26151,9.81093,8.69047,9.6346,2,1,1159,2,1,3,3,2,1,1,-0.256,172.167,-0.16,490.5826,462.4513,430.9399,NA,5,4
3530308,480.318,440.92386,2,1,14.5,11.64917,13.03951,NA,11.03069,NA,NA,1,2,898,NA,1,4,4,3,3,1,-0.9168,NA,0.27,298.0293,316.6698,343.0063,2,4,4
4250320,476.50856,473.44608,1,1,15.166666666666666,8.74681,10.30524,8.60159,7.57539,6.39359,9.15641,NA,1,647,3,5,1,2,3,3,2,-1.5162,184,-0.72,478.5091,425.913,496.1209,1,3,4
3250112,547.48067,531.2885,1,1,15.25,10.92551,11.04872,10.35777,10.35139,10.30668,10.74331,1,1,348,4,1,1,4,3,3,3,-1.0989,173.5,0.24,538.4873,471.983,511.4137,1,5,4
4400112,408.22934,322.80211,1,3,15.25,14.01827,9.18945,12.99956,13.59873,13.48061,13.75104,1,3,907,3,2,2,4,4,2,2,-0.256,155.5,1.72,434.1876,424.0861,366.4118,1,3,NA
3940225,427.20817,377.32657,2,1,15.25,8.91919,9.62932,9.60333,9.34439,10.30668,9.15641,3,3,524,3,1,2,3,2,2,2,-0.7452,271,0.09,449.0653,415.6299,443.6218,1,5,4
3390202,462.96892,452.28597,1,1,16.166666666666668,10.25396,9.18945,8.93041,9.34439,9.39344,10.15325,1,2,654,4,1,1,2,3,1,2,-0.4184,134.6,-1.95,485.4417,380.6374,486.5162,1,6,3
4780110,471.53106,443.87707,1,1,14.75,10.25396,9.18945,11.33851,5.49149,9.39344,10.74331,3,1,1408,2,2,3,2,2,2,2,0.0872,200.714,1.06,380.363,386.1975,381.4248,1,5,NA
3730204,564.61489,576.82598,2,1,14.416666666666666,11.64917,11.04872,11.33851,10.35139,11.07454,10.74331,1,2,1043,2,3,1,2,2,3,2,-0.256,244.75,1.34,508.5761,472.2472,545.263,1,5,4
4630202,596.96733,716.20015,1,2,15.583333333333334,11.64917,11.04872,13.27484,13.70742,12.08627,14.34298,2,1,311,3,5,1,1,3,2,2,-1.2965,94,-0.37,597.6087,572.8604,563.7262,1,3,4
3020110,567.06878,561.6753,2,3,14.25,10.92551,9.18945,8.60159,8.55351,9.61942,8.70884,1,1,76,3,6,1,NA,3,3,3,-1.2965,37.5,0.13,408.2489,446.9057,420.3096,1,3,4
4660303,658.94534,697.55233,2,1,14.833333333333334,14.01827,9.62932,11.33851,8.20673,11.07454,9.6346,1,1,1028,2,4,3,3,2,4,3,-0.7452,135.467,0.72,674.4898,582.1137,585.3599,3,5,NA
3230108,479.80705,486.84443,2,1,15.166666666666666,10.92551,13.03951,9.26151,8.20673,7.89169,7.85736,1,2,625,3,5,1,2,3,3,1,-0.4184,157.5,-0.37,388.8534,373.6881,475.3264,1,3,4
3710305,503.3446,535.29388,1,1,14.083333333333334,10.92551,11.04872,11.33851,9.34439,11.37095,11.44903,2,2,738,2,5,2,3,1,2,2,0.7756,111.333,-0.09,478.5091,433.0618,441.4771,1,3,4
3760108,519.94105,587.79704,2,1,15.083333333333334,9.60097,9.62932,10.35777,8.92971,9.16491,8.27843,2,2,113,1,6,1,3,2,3,2,-0.256,36.333,-0.11,506.0056,489.89,589.1831,1,3,3
4240101,699.27052,608.24694,2,1,15.416666666666666,10.92551,10.19817,13.46507,13.70742,11.07454,10.15325,1,2,858,2,1,1,2,3,3,1,-0.9168,166.909,0.58,638.1134,595.8269,581.4435,2,6,4
4620204,577.69252,562.57285,1,2,15.5,10.92551,8.93749,11.33851,11.9425,8.69047,14.34298,1,1,592,2,1,1,3,1,1,1,1.1595,119.2,-0.09,570.3458,451.2515,570.1604,1,5,NA
3470116,458.26974,454.85729,1,1,14.083333333333334,8.91919,13.03951,11.33851,7.88323,9.16491,10.15325,3,1,305,4,1,1,3,2,3,2,0.0872,152.5,-0.64,330.511,411.6154,372.1,1,3,2
3330102,386.45002,444.99863,1,3,14.333333333333334,8.91919,10.19817,13.46507,11.9425,9.61942,12.42205,3,3,219,4,6,1,1,2,2,3,0.0872,51.5,-0.18,433.7981,378.9693,345.7106,1,NA,4
4070214,527.30417,488.97352,1,2,13.916666666666666,12.51743,10.19817,8.60159,7.57539,8.17383,8.27843,1,1,883,1,5,2,2,3,2,1,-1.2965,140.308,0.02,489.0248,509.3156,424.4125,2,6,2
5080120,595.03098,592.59205,1,1,15,10.92551,13.03951,12.07123,10.35139,11.07454,14.34298,1,2,494,3,5,1,3,3,1,3,-0.256,123,-0.11,495.0226,494.462,600.2797,1,3,2
3080122,405.11253,516.85752,2,1,14.5,10.25396,13.03951,9.26151,10.35139,7.24499,10.39525,2,1,511,4,1,1,4,3,3,2,-0.256,133.25,-0.31,551.6513,523.6519,584.241,1,6,3
3260217,455.79138,381.747,2,2,14,9.60097,10.19817,13.46507,8.92971,9.61942,12.42205,3,1,687,2,1,2,2,2,3,1,-0.4184,329.5,0.03,371.7947,340.0065,390.1902,1,3,2
3720108,549.22584,431.04359,1,1,15.083333333333334,11.17406,11.04872,12.07123,7.88323,8.93142,10.15325,NA,2,434,4,6,1,2,2,3,3,-2.4968,143.333,-1.24,396.7986,381.1934,351.492,1,5,3
4060219,582.65304,533.28208,1,1,15.083333333333334,9.60097,8.48873,9.965,8.20673,8.93142,9.6346,1,2,425,4,2,2,4,3,2,3,1.1595,131.333,0.32,450.701,394.8555,415.7404,1,3,2
4540129,586.8693,508.40345,2,1,15.333333333333334,10.25396,13.03951,12.07123,11.9425,10.54867,14.34298,2,2,407,3,4,1,3,3,3,2,-1.0989,173.6,-0.45,405.99,361.659,457.4226,1,3,4
4680222,503.27935,595.55749,2,2,15.25,10.92551,9.18945,10.35777,11.01771,8.69047,9.6346,1,1,403,3,2,1,4,4,4,2,-1.2965,192.5,-0.29,419.5435,428.9422,455.8374,1,3,NA
4860206,587.89825,608.07323,1,1,14.083333333333334,11.64917,11.04872,9.81521,9.34439,9.84519,10.74331,1,2,782,1,1,1,1,2,1,1,1.1595,239,0.5,483.027,501.6108,439.8918,2,3,NA
4460315,501.85843,505.31789,2,1,14.5,10.92551,9.18945,9.26151,7.57539,9.39344,8.27843,2,2,881,1,2,1,2,3,3,2,0.5021,174,0.3,448.1305,404.4026,439.8918,1,4,4
3310105,659.60725,635.89297,2,1,14.083333333333334,10.92551,13.03951,13.46507,9.34439,12.54869,12.42205,1,1,594,1,1,1,1,1,3,2,-0.0892,NA,0.56,664.5973,541.2145,692.3163,3,8,2
3730210,569.38077,558.85433,2,1,13.916666666666666,10.25396,9.18945,13.46507,13.70742,15.81948,10.74331,1,2,1043,2,3,1,2,2,3,2,-0.256,244.75,0.13,443.4569,381.9482,470.6639,1,5,4
3700114,576.63954,523.65495,2,1,14.833333333333334,10.25396,10.19817,9.965,7.88323,9.84519,8.27843,2,3,899,3,1,1,4,2,3,2,-0.256,206,0.22,484.5848,456.5291,500.5035,1,5,4
4230103,424.67472,506.85352,2,2,15.5,11.64917,8.19852,10.80246,10.35139,9.16491,10.15325,2,2,907,2,1,3,2,3,4,2,1.9226,215.75,-0.16,441.0422,354.4415,445.4868,1,5,4
3430118,489.47266,541.67865,2,2,14.833333333333334,11.64917,11.04872,11.08765,11.9425,8.93142,10.74331,2,1,1049,1,2,2,3,2,3,1,-0.9168,282.5,0.16,491.7511,446.9057,483.7188,1,5,4
4090109,550.2006,505.98368,2,4,14.083333333333334,9.60097,13.03951,13.46507,13.70742,10.80346,12.42205,2,2,334,1,5,1,3,NA,3,3,-1.5162,58.182,-0.57,465.423,357.0879,407.2548,1,6,NA
3550317,606.07204,590.66165,2,2,14,11.64917,6.83195,9.965,8.55351,10.80346,10.74331,1,3,1000,NA,1,NA,2,NA,NA,1,NA,93.619,-0.54,489.4142,437.8438,448.564,2,3,2
4220420,578.58918,602.85367,2,2,15,9.60097,11.04872,12.07123,13.70742,8.93142,11.44903,3,1,1371,1,2,2,4,2,3,3,-1.0989,11.25,0.39,572.7606,576.8208,575.1026,3,8,NA
3430101,526.53913,536.19623,2,1,14.75,NA,10.19817,9.965,8.20673,10.30668,9.6346,NA,3,1049,1,2,2,3,2,3,1,-0.9168,282.5,0.45,532.3337,487.404,559.157,1,5,4
5010122,585.06246,537.15041,2,1,14.916666666666666,14.01827,9.18945,13.46507,13.70742,15.81948,14.34298,1,2,429,1,1,1,1,2,2,2,-0.4184,NA,1.44,409.8847,328.699,405.11,1,4,2
4370106,622.35161,610.36752,1,1,14.833333333333334,11.64917,13.03951,12.07123,11.01771,12.08627,11.44903,2,1,110,1,3,1,3,2,1,3,-1.2965,NA,0.24,560.2197,575.2433,589.8359,1,4,4
5060202,619.96912,580.47435,1,1,15.416666666666666,11.64917,10.19817,10.80246,11.9425,12.08627,9.6346,1,2,365,4,1,2,2,2,2,2,0.0872,135.333,0.37,524.4664,441.2432,548.0604,1,5,2
4560321,642.04419,654.94951,2,1,14.25,12.51743,7.91394,9.965,9.81093,8.93142,9.15641,1,3,706,1,2,2,4,4,4,2,-1.0989,231,0.53,540.7462,463.506,504.047,1,4,2
3300209,408.23727,475.2737,1,3,14.583333333333334,10.92551,9.18945,9.26151,10.35139,4.94405,8.70884,1,1,837,3,2,1,3,1,3,3,0.0872,136.333,-0.27,357.3843,394.9349,426.2775,1,4,4
4540125,537.81505,574.80589,1,1,14.833333333333334,8.91919,7.91394,6.36452,6.97345,3.17837,6.97717,2,2,407,3,4,1,3,3,3,2,-1.0989,173.6,-0.91,421.5688,399.7008,399.7949,1,3,NA
3430315,559.95583,469.30104,2,1,14.5,9.60097,10.19817,6.36452,7.88323,6.85613,5.86845,2,2,1049,1,2,2,3,2,3,1,-0.9168,282.5,-0.07,441.899,389.1657,473.4614,1,5,NA
4930125,473.67377,540.259,2,2,14.75,11.64917,10.19817,12.07123,11.01771,7.89169,12.13873,1,1,806,1,1,2,2,2,1,1,0.2803,157.4,0.3,507.3298,523.6519,517.9411,1,4,4
4920218,470.80624,491.62919,1,1,15.083333333333334,10.25396,13.03951,9.965,7.57539,8.17383,10.74331,3,1,972,1,1,1,2,1,3,1,-0.0892,163.667,1.91,412.2994,480.7204,411.6374,1,4,NA
3490313,477.54802,469.01495,2,1,15.083333333333334,11.64917,10.19817,9.965,11.01771,8.17383,8.70884,1,1,820,3,1,1,2,3,3,2,-0.5803,116.143,-0.32,463.7093,419.399,427.4897,1,3,4
3430110,473.59031,498.23578,2,2,15.166666666666666,8.74681,10.19817,8.93041,9.34439,9.39344,10.15325,NA,1,1049,1,2,2,3,2,3,1,-0.9168,282.5,-0.04,483.8059,490.2108,533.1406,1,5,2
3560324,492.93417,558.21319,2,1,14.5,10.25396,13.03951,9.60333,8.92971,9.84519,7.85736,2,2,756,3,1,2,3,3,3,2,1.1595,145.091,-0.05,485.4417,491.5741,452.7602,1,4,NA
3820520,535.31904,589.95101,1,1,15,8.74681,10.19817,9.26151,8.20673,7.24499,9.15641,NA,1,1365,4,2,2,2,3,3,1,-0.9168,NA,-0.7,523.3759,583.9013,494.9086,1,6,2
3300205,614.00479,600.4351,1,2,15.083333333333334,11.64917,9.62932,13.46507,11.01771,12.08627,10.74331,1,2,837,3,2,1,3,1,3,3,0.0872,136.333,0.17,504.2141,584.7751,575.3823,1,4,4
3180117,596.54676,491.20551,1,1,14.416666666666666,10.25396,13.03951,10.35777,8.92971,10.30668,9.15641,2,3,856,1,4,1,2,2,2,3,-1.0989,208.75,-0.25,530.7758,536.8782,573.4241,1,3,4
4500302,561.7534,529.94436,2,3,14.916666666666666,8.74681,7.6477,11.33851,9.81093,11.70269,10.15325,NA,3,715,3,4,1,4,4,4,2,-0.5803,142.2,-0.02,548.0682,394.4585,401.7531,1,4,3
4780113,629.35797,702.1085,2,1,15.083333333333334,10.25396,10.19817,9.965,11.01771,9.16491,12.42205,2,2,1408,2,2,3,2,2,2,2,0.0872,200.714,-0.58,532.2558,442.0941,473.4614,1,5,4
3180126,458.69444,559.36094,2,1,15.166666666666666,8.91919,13.03951,10.80246,8.55351,8.93142,9.15641,4,1,856,1,4,1,2,2,2,3,-1.0989,208.75,-0.76,463.7093,392.3735,451.0817,1,3,4
4770104,500.623,515.05533,2,1,14.416666666666666,7.30445,9.62932,8.60159,8.92971,9.61942,7.85736,NA,3,638,2,5,1,4,2,3,3,-0.256,167.5,-0.54,485.6753,422.0454,437.0944,1,4,2
